S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
124,2023-03-20,8126,SIKLES,Sikles Hydropower Limited,456.5000,457.0000,455.0000,,1377,627581.0000,459.0000,510.0000,315.5000,2023-03-20T11:35:27.433276,457.0000,19,455.75,
125,2023-03-20,8133,PHCL,Peoples Hydropower Company Limited,357.0000,367.0000,357.0000,,950,345119.0000,362.7000,416.1000,196.9000,2023-03-20T11:35:24.908771,364.0000,56,363.28,
126,2023-03-20,9140,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,1799.8000,1941.0000,1799.8000,,461,890621.5000,1764.6000,1764.6000,989.4000,2023-03-20T11:31:59.098626,1941.0000,30,1931.93,
127,2023-03-20,153,BPCL,Butwal Power Company Limited,325.0000,325.0000,319.0000,,422,136011.0000,319.0000,424.0000,288.0000,2023-03-20T11:27:47.610593,320.0000,8,322.30,
128,2023-03-20,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,685.0000,690.0000,685.0000,,144,99050.0000,685.0000,1199.0000,668.0000,2023-03-20T11:30:07.260192,685.0000,6,687.84,
129,2023-03-20,235,HDL,Himalayan Distillery Limited,1975.0000,2000.0000,1965.0000,,5372,10646496.0000,1975.0000,4323.0000,1975.0000,2023-03-20T11:34:52.249832,1989.0000,157,1981.84,
130,2023-03-20,238,NMB,NMB Bank Limited,221.0000,222.8000,220.0000,,880,194206.0000,220.9000,320.0000,217.9000,2023-03-20T11:34:26.868714,222.5000,6,220.68,
131,2023-03-20,244,SIFC,Shree Investment Finance Co. Ltd.,326.0000,330.0000,325.0000,,869,284539.0000,324.0000,443.0000,236.3000,2023-03-20T11:33:39.757990,328.0000,6,327.43,
132,2023-03-20,428,KRBL,Karnali Development Bank Limited,274.0000,274.0000,270.0000,,860,232432.0000,269.4000,435.0000,198.9000,2023-03-20T11:34:45.709978,270.0000,5,270.26,
133,2023-03-20,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,540.0000,541.7000,538.0000,,856,462648.0000,531.1000,835.0000,530.1000,2023-03-20T11:29:09.611021,538.0000,12,540.47,
134,2023-03-20,575,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,699.0000,709.0000,699.0000,,130,91820.0000,699.0000,1182.0000,690.0000,2023-03-20T11:31:36.344118,709.0000,7,706.30,
135,2023-03-20,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,557.0000,569.0000,557.0000,,750,420210.0000,548.0000,991.0000,535.5000,2023-03-20T11:24:35.724344,568.8000,9,560.28,
136,2023-03-20,2743,NGPL,Ngadi Group Power Ltd.,280.0000,282.0000,276.0000,,7695,2156617.5000,276.0000,694.0000,185.2000,2023-03-20T11:34:24.410058,280.5000,38,280.26,
137,2023-03-20,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1283.9000,1283.9000,1283.0000,,90,115506.0000,1260.0000,2950.0000,1260.0000,2023-03-20T11:29:43.988300,1283.0000,5,1283.40,
138,2023-03-20,2908,SGIC,Sanima GIC Insurance Limited,450.2000,456.0000,450.2000,,70,31764.0000,454.0000,665.0000,325.5000,2023-03-20T11:34:27.552273,452.0000,7,453.77,
139,2023-03-20,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,2139.0000,2139.0000,2139.0000,,16,34224.0000,2100.0000,4329.6000,2100.0000,2023-03-20T11:19:30.048701,2139.0000,1,2139.00,
140,2023-03-20,4968,RMF1,RBB Mutual Fund 1,7.5000,7.5000,7.5000,,1100,8250.0000,7.5800,9.2700,7.0400,2023-03-20T11:33:45.497302,7.5000,2,7.50,
141,2023-03-20,9146,SMHL,Super Madi Hydropower Limited,395.0000,400.0000,392.1000,,1865,738821.5000,399.0000,406.8000,299.0000,2023-03-20T11:35:18.454656,394.6000,150,396.15,
142,2023-03-20,210,CIT,Citizen Investment Trust,2026.1000,2052.0000,2026.1000,,792,1619937.0000,2026.0000,3297.0000,1780.0000,2023-03-20T11:35:00.890112,2040.0000,27,2045.37,
143,2023-03-20,393,PLIC,Prime Life Insurance Company Limited,407.9000,408.8000,407.9000,,1051,428850.0000,401.0000,801.0000,400.0000,2023-03-20T11:26:43.864579,408.8000,7,408.03,
144,2023-03-20,693,CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,624.0000,624.2000,624.0000,,29,18099.8000,612.0000,1018.0000,592.0000,2023-03-20T11:25:40.931422,624.2000,2,624.13,
145,2023-03-20,700,HEIP,Himalayan Everest Insurance Limited Promoter,270.0000,270.0000,270.0000,,10,2700.0000,275.4000,367.4000,214.2000,2023-03-20T11:35:22.900166,270.0000,1,270.00,
