S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-03-20,133,SCB,Standard Chartered Bank Limited,521.0000,521.0000,520.0000,,510,265600.0000,513.0000,555.0000,375.0000,2023-03-20T11:32:18.073328,520.0000,4,520.78,
2,2023-03-20,179,HEI,Himalayan Everest Insurance Limited,420.0000,420.0000,415.0000,,1500,627350.0000,412.3000,703.0000,345.0000,2023-03-20T11:35:07.280750,417.0000,6,418.23,
3,2023-03-20,358,LBBL,Lumbini Bikas Bank Ltd.,335.0000,335.0000,332.0000,,792,264120.0000,329.1000,503.0000,290.1000,2023-03-20T11:34:51.154844,332.0000,4,333.48,
4,2023-03-20,559,NLG,NLG Insurance Company Ltd.,649.1000,684.0000,649.0000,,1397,926223.0000,660.1000,928.0000,423.0000,2023-03-20T11:32:23.987254,675.0000,10,663.00,
5,2023-03-20,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,11214.0000,11214.0000,11214.0000,,10,112140.0000,11442.3000,18588.0000,9663.0000,2023-03-20T11:12:08.313599,11214.0000,1,11214.00,
6,2023-03-20,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,196.0000,199.0000,195.0000,,5817,1153699.1000,196.0000,308.0000,159.8000,2023-03-20T11:35:09.372723,197.2000,31,198.33,
7,2023-03-20,2751,KKHC,Khanikhola Hydropower Co. Ltd.,249.9000,251.0000,249.9000,,897,224570.3000,247.0000,318.0000,163.8000,2023-03-20T11:32:38.335983,250.9000,4,250.35,
8,2023-03-20,2767,HPPL,Himalayan Power Partner Ltd.,305.8000,305.8000,298.0000,,410,125120.0000,300.5000,476.0000,217.6000,2023-03-20T11:25:41.105604,298.0000,4,305.17,
9,2023-03-20,2806,GHL,Ghalemdi Hydro Limited,274.0000,274.0000,267.0000,,5705,1542584.0000,271.0000,341.0000,164.2000,2023-03-20T11:31:22.005342,270.0000,27,270.39,
10,2023-03-20,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,303.5000,307.0000,303.5000,,298,91085.4000,306.0000,391.6000,210.0000,2023-03-20T11:35:07.657153,306.2000,7,305.65,
11,2023-03-20,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,657.0000,657.0000,657.0000,,14,9198.0000,668.0000,1305.6000,650.0000,2023-03-20T11:13:55.789820,657.0000,1,657.00,
12,2023-03-20,4959,NBLD87,8.5% Nepal Bank Debenture 2087,732.0000,732.0000,732.0000,,25,18300.0000,742.0000,1020.0000,711.0000,2023-03-20T11:13:49.935698,732.0000,1,732.00,
13,2023-03-20,8076,HHL,Himalayan Hydropower Limited,299.0000,305.0000,299.0000,,281,84969.0000,304.9000,362.1000,202.0000,2023-03-20T11:33:33.916059,305.0000,25,302.38,
14,2023-03-20,141,LBL,Laxmi Bank Limited,182.0000,183.0000,180.0000,,432,78852.0000,180.0000,272.0000,179.6000,2023-03-20T11:21:23.846984,183.0000,6,182.52,
15,2023-03-20,149,OHL,Oriental Hotels Limited,544.0000,544.0000,544.0000,,500,272000.0000,536.0000,602.6000,413.8000,2023-03-20T11:07:54.753941,544.0000,1,544.00,
16,2023-03-20,180,UIC,United Insurance Co. (Nepal) Ltd.,431.0000,431.0000,430.0000,,1020,439600.0000,430.9000,725.0000,325.0000,2023-03-20T11:25:42.120791,430.0000,2,430.98,
17,2023-03-20,204,GUFL,Gurkhas Finance Ltd.,503.0000,519.1000,503.0000,,885,454326.0000,509.5000,715.0000,357.0000,2023-03-20T11:34:48.713357,514.0000,11,513.36,
18,2023-03-20,227,BFC,Best Finance Company Ltd.,331.5000,331.5000,330.0000,,315,104190.0000,326.0000,476.9000,292.5000,2023-03-20T11:28:06.671667,331.0000,3,330.76,
19,2023-03-20,686,BARUN,Barun Hydropower Co. Ltd.,260.0000,265.0000,260.0000,,1541,406365.7000,263.0000,541.6000,190.3000,2023-03-20T11:32:14.793646,263.1000,11,263.70,
20,2023-03-20,697,API,Api Power Company Ltd.,261.2000,262.2000,260.0000,,11640,3041509.8000,257.1000,510.0000,200.0000,2023-03-20T11:35:14.869307,261.0000,57,261.29,
21,2023-03-20,2744,GRDBL,Green Development Bank Ltd.,264.9000,265.0000,261.0000,,45,11884.0000,261.0000,363.9000,182.0000,2023-03-20T11:33:02.979547,265.0000,3,264.08,
22,2023-03-20,2759,SPDL,Synergy Power Development Ltd.,311.9000,314.0000,311.9000,,1000,313400.2000,308.4000,474.0000,234.0000,2023-03-20T11:28:02.972184,314.0000,11,313.40,
23,2023-03-20,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,665.0000,665.0000,665.0000,,40,26600.0000,665.0000,1360.0000,664.0000,2023-03-20T11:19:19.695695,665.0000,2,665.00,
24,2023-03-20,2917,CGH,Chandragiri Hills Limited,1132.0000,1132.0000,1131.0000,,20,22630.0000,1148.0000,1487.0000,900.2000,2023-03-20T11:30:41.003815,1131.0000,2,1131.50,
25,2023-03-20,8066,RFPL,River Falls Power Limited,298.0000,303.0000,293.2000,,160,47591.0000,298.0000,325.0000,200.0000,2023-03-20T11:35:01.829556,297.0000,16,297.44,
26,2023-03-20,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,417.1000,425.0000,417.1000,,140,59007.0000,424.0000,481.0000,130.2000,2023-03-20T11:34:47.612760,425.0000,14,421.47,
27,2023-03-20,134,HBL,Himalayan Bank Limited,233.0000,240.0000,233.0000,,976,232334.6000,236.0000,398.7500,225.7000,2023-03-20T11:33:41.540600,235.3000,19,238.04,
28,2023-03-20,140,MBL,Machhapuchhre Bank Limited,227.0000,227.0000,225.1000,,431,97575.3000,224.0000,305.0000,199.0000,2023-03-20T11:33:48.598441,226.0000,6,226.39,
29,2023-03-20,145,SBL,Siddhartha Bank Limited,261.0000,262.0000,258.0000,,4407,1144097.0000,261.0000,414.8000,255.0000,2023-03-20T11:33:20.875019,259.1000,16,259.60,
30,2023-03-20,236,PFL,Pokhara Finance Ltd.,380.0000,387.0000,380.0000,,940,359035.9000,373.1000,534.0000,290.0000,2023-03-20T11:34:35.084487,384.0000,9,381.95,
31,2023-03-20,397,ADBL,Agricultural Development Bank Limited,258.2000,262.8000,258.2000,,2025,525898.2000,258.2000,405.9000,258.0000,2023-03-20T11:33:58.463336,259.9000,19,259.70,
32,2023-03-20,516,MFIL,Manjushree Finance Ltd.,448.0000,453.6000,448.0000,,2415,1089223.0000,444.8000,659.0000,362.0000,2023-03-20T11:35:00.738897,450.0000,12,451.02,
33,2023-03-20,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,606.0000,609.0000,606.0000,,150,91200.0000,602.1000,1115.0000,600.1000,2023-03-20T11:34:54.088463,609.0000,2,608.00,
34,2023-03-20,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,751.0000,762.0000,751.0000,,200,151630.0000,750.0000,1254.0000,740.1000,2023-03-20T11:31:27.532400,762.0000,6,758.15,
35,2023-03-20,2786,PMHPL,Panchakanya Mai Hydropower Ltd,250.0000,250.0000,250.0000,,200,50000.0000,247.9000,349.8000,168.0000,2023-03-20T11:19:22.942737,250.0000,1,250.00,
36,2023-03-20,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,560.0000,576.0000,560.0000,,77,43780.0000,568.9000,1100.0000,560.3000,2023-03-20T11:25:31.845342,570.0000,3,568.57,
37,2023-03-20,2913,MEN,Mountain Energy Nepal Limited,750.0000,759.0000,750.0000,,50,37680.0000,758.0000,1135.0000,692.0000,2023-03-20T11:28:02.213024,759.0000,5,753.60,
38,2023-03-20,2919,NIFRA,Nepal Infrastructure Bank Limited,217.5000,221.0000,217.0000,,4171,916103.3000,219.0000,360.0000,176.9000,2023-03-20T11:35:01.977119,220.0000,71,219.63,
39,2023-03-20,2924,GLH,GreenLife Hydropower Limited,294.3000,303.9000,294.3000,,970,294454.0000,298.0000,511.0000,219.0000,2023-03-20T11:21:41.447479,303.9000,10,303.56,
40,2023-03-20,8036,RULB,Rastra Utthan Laghubitta Sanstha Limited,660.0000,661.0000,660.0000,,60,39650.0000,659.0000,1931.7000,580.3000,2023-03-20T11:30:42.114649,661.0000,2,660.83,
41,2023-03-20,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,1366.8000,1366.8000,1345.0000,,40,54118.0000,1340.0000,2705.0000,256.8000,2023-03-20T11:33:05.474395,1350.0000,3,1352.95,
42,2023-03-20,8104,USHEC,Upper Solu Hydro Electric Company Limited,345.3000,358.0000,345.3000,,110,38539.0000,351.0000,431.9000,237.0000,2023-03-20T11:35:21.985121,349.0000,11,350.35,
43,2023-03-20,8121,SPHL,Sayapatri Hydropower Limited,459.0000,463.5000,455.0000,,1730,794755.0000,458.0000,520.2000,194.8000,2023-03-20T11:27:27.984054,458.1000,9,459.39,
44,2023-03-20,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,785.0000,798.0000,784.0000,,615,484625.0000,787.0000,1303.0000,785.0000,2023-03-20T11:34:01.447508,787.0000,13,788.00,
45,2023-03-20,184,PRIN,Prabhu Insurance Ltd.,476.0000,476.0000,476.0000,,700,333200.0000,473.0000,893.0000,378.0000,2023-03-20T11:27:11.816123,476.0000,3,476.00,
46,2023-03-20,255,PRVU,Prabhu  Bank Limited,178.2000,180.3000,178.2000,,5032,903156.4000,178.1000,309.0000,176.4000,2023-03-20T11:33:59.467487,178.5000,32,179.48,
47,2023-03-20,256,SFCL,Samriddhi Finance Company Limited,297.9000,297.9000,297.0000,,910,270743.4000,294.0000,375.0000,179.4000,2023-03-20T11:25:03.916503,297.0000,7,297.52,
48,2023-03-20,357,PCBL,Prime Commercial Bank Ltd.,200.0000,203.8000,200.0000,,484,97627.4000,201.9000,333.0000,198.5000,2023-03-20T11:34:33.422665,201.5000,12,201.70,
49,2023-03-20,396,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,604.0000,604.0000,604.0000,,20,12080.0000,596.0000,1129.0000,590.0000,2023-03-20T11:21:07.659841,604.0000,1,604.00,
50,2023-03-20,517,NBL,Nepal Bank Limited,265.0000,265.0000,262.0000,,2836,744976.0000,261.9000,350.0000,258.0000,2023-03-20T11:35:04.037758,262.0000,14,262.68,
51,2023-03-20,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,691.6000,716.0000,691.6000,,375,264417.0000,678.1000,1365.0000,676.0000,2023-03-20T11:32:45.591401,700.0000,15,705.11,
52,2023-03-20,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,550.0000,550.0000,550.0000,,111,61040.0000,540.0000,883.1000,534.1000,2023-03-20T11:23:38.584480,550.0000,3,549.90,
53,2023-03-20,2810,UPCL,UNIVERSAL POWER COMPANY LTD,255.5000,258.0000,254.2000,,10419,2669677.1000,254.0000,340.0000,175.9000,2023-03-20T11:35:12.713894,254.4000,43,256.23,
54,2023-03-20,2813,PPCL,Panchthar Power Compant Limited,348.5000,355.3000,348.4000,,1158,409397.2000,354.9000,444.9000,230.0000,2023-03-20T11:24:58.677518,355.3000,5,353.53,
55,2023-03-20,8025,SPC,Samling Power Company Limited,497.0000,497.7000,490.0000,,1386,680904.0000,488.0000,697.6000,338.2000,2023-03-20T11:28:05.125487,490.0000,8,491.27,
56,2023-03-20,8041,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,2423.0000,2423.0000,2365.0000,,170,405167.0000,2389.9000,3759.0000,747.7000,2023-03-20T11:28:09.153139,2388.0000,9,2383.33,
57,2023-03-20,8055,BHL,Balephi Hydropower Limited,329.3000,335.0000,329.3000,,305,101954.0000,335.0000,397.0000,104.7000,2023-03-20T11:33:11.368845,335.0000,11,334.27,
58,2023-03-20,8108,RHGCL,Rapti Hydro And General Construction Limited,338.0000,341.0000,338.0000,,6818,2324080.0000,344.0000,406.0000,191.6000,2023-03-20T11:35:05.773736,341.0000,18,340.87,
59,2023-03-20,142,KBL,Kumari Bank Limited,179.0000,179.0000,176.0000,,3934,696950.0000,178.0000,243.0000,175.0000,2023-03-20T11:35:24.729193,177.0000,34,177.16,
60,2023-03-20,156,BBC,Bishal Bazar Company Limited,3275.0000,3339.0000,3275.0000,,150,497650.0000,3326.0000,4550.0000,3083.0000,2023-03-20T11:31:56.014946,3339.0000,3,3317.66,
61,2023-03-20,186,IGI,IME General Insurance Ltd.,400.2000,409.9000,394.0000,,22770,9095982.5000,406.2000,740.0000,333.2000,2023-03-20T11:34:16.631071,400.0000,101,399.47,
62,2023-03-20,188,LICN,Life Insurance Corporation (Nepal) Limited,1378.0000,1378.0000,1378.0000,,50,68900.0000,1361.0000,2274.0000,1065.0000,2023-03-20T11:16:23.666969,1378.0000,1,1378.00,
63,2023-03-20,232,GFCL,Goodwill Finance Limited,458.0000,460.0000,458.0000,,578,265776.6000,455.0000,634.0000,358.0000,2023-03-20T11:33:57.055030,460.0000,5,459.82,
64,2023-03-20,403,SJLIC,SuryaJyoti Life Insurance Company Limited,444.2000,451.8000,444.2000,,3539,1592108.4000,444.1000,806.5000,351.0000,2023-03-20T11:34:09.743375,450.0000,25,449.87,
65,2023-03-20,471,MPFL,Multipurpose Finance Company  Limited,320.3000,338.1000,320.3000,,92,30002.8000,325.0000,418.0000,206.1000,2023-03-20T11:32:33.992525,338.1000,3,326.11,
66,2023-03-20,474,MNBBL,Muktinath Bikas Bank Ltd.,390.0000,390.0000,387.0000,,782,303329.0000,387.0000,525.0000,368.0000,2023-03-20T11:32:29.812225,389.9000,7,387.88,
67,2023-03-20,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,785.0000,795.0000,785.0000,,292,230842.0000,784.0000,1359.0000,761.0000,2023-03-20T11:33:22.723118,792.0000,6,790.55,
68,2023-03-20,2766,CHL,Chhyangdi Hydropower Ltd.,320.0000,327.0000,320.0000,,256,82694.0000,319.1000,475.0000,193.1000,2023-03-20T11:35:03.901833,327.0000,4,323.02,
69,2023-03-20,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,575.0000,586.5000,573.0000,,480,277198.0000,585.0000,1407.0000,575.0000,2023-03-20T11:34:21.800356,573.0000,16,577.49,
70,2023-03-20,2843,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,625.0000,625.0000,625.0000,,16,10000.0000,624.0000,1390.0000,624.0000,2023-03-20T11:30:15.821531,625.0000,1,625.00,
71,2023-03-20,2902,LUK,Laxmi Unnati Kosh,7.8000,7.8100,7.8000,,7000,54650.0000,7.7900,10.5000,7.5200,2023-03-20T11:34:28.106810,7.8000,4,7.80,
72,2023-03-20,3946,CHDC,CEDB Hydropower Development Company Limited,707.2000,734.4000,707.2000,,120,86853.0000,720.0000,925.0000,590.0000,2023-03-20T11:28:52.538540,720.1000,8,723.77,
73,2023-03-20,4956,ULI,Union Life Insurance Company Limited,402.3000,413.0000,402.2000,,535,218700.0000,408.2000,746.0000,397.1000,2023-03-20T11:32:15.498694,412.9000,29,408.78,
74,2023-03-20,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,438.9000,446.9000,438.7000,,530,233028.0000,446.9000,695.0000,372.6000,2023-03-20T11:33:09.962030,446.9000,12,439.67,
75,2023-03-20,8021,SAHAS,Sahas Urja Limited,534.0000,540.0000,534.0000,,330,177685.0000,538.0000,656.0000,377.5000,2023-03-20T11:33:20.676648,540.0000,27,538.43,
76,2023-03-20,8106,GIBF1,Global IME Balanced Fund-1,7.9000,7.9000,7.9000,,100,790.0000,8.0500,10.0000,7.5500,2023-03-20T11:26:14.327530,7.9000,1,7.90,
77,2023-03-20,135,SBI,Nepal SBI Bank Limited,323.0000,323.0000,323.0000,,20,6460.0000,316.9000,365.0000,251.0000,2023-03-20T11:24:21.733525,323.0000,1,323.00,
78,2023-03-20,147,SHL,Soaltee Hotel Limited,222.5000,222.5000,222.1000,,575,127785.0000,221.6000,252.6000,186.7000,2023-03-20T11:30:36.482243,222.1000,3,222.23,
79,2023-03-20,148,TRH,Taragaon Regency Hotel Limited,470.0000,479.4000,470.0000,,1260,601744.0000,463.0000,507.0000,302.1000,2023-03-20T11:23:47.967455,471.9000,6,477.57,
80,2023-03-20,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,600.0000,600.0000,595.0000,,965,576075.0000,596.8000,1179.0000,588.0000,2023-03-20T11:29:51.023142,596.5000,13,596.96,
81,2023-03-20,171,SANIMA,Sanima Bank Limited,243.0000,243.0000,240.0000,,4363,1052149.1000,239.0000,340.0000,222.0000,2023-03-20T11:33:34.920803,243.0000,25,241.15,
82,2023-03-20,178,NLICL,National Life Insurance Co. Ltd.,565.0000,565.0000,560.0000,,2524,1416552.5000,557.9000,940.0000,492.0000,2023-03-20T11:32:43.346403,560.0000,11,561.23,
83,2023-03-20,189,PICL,Prudential Insurance Co. Ltd.,400.0000,400.0000,400.0000,,100,40000.0000,399.0000,732.0000,328.3000,2023-03-20T11:27:09.082361,400.0000,1,400.00,
84,2023-03-20,192,SICL,Shikhar Insurance Co. Ltd.,755.0000,755.0000,744.0000,,235,176260.0000,750.0000,1428.0000,690.1000,2023-03-20T11:28:42.314281,744.0000,6,750.04,
85,2023-03-20,250,JFL,Janaki Finance Company Limited,386.0000,387.0000,386.0000,,420,162320.0000,380.0000,535.0000,305.0000,2023-03-20T11:26:07.656903,386.0000,5,386.47,
86,2023-03-20,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,329.0000,329.8000,329.0000,,400,131760.0000,327.0000,431.9000,223.9000,2023-03-20T11:17:36.074939,329.8000,2,329.40,
87,2023-03-20,307,NTC,Nepal Doorsanchar Company Limited,828.9000,828.9000,823.9000,,20,16528.0000,817.0000,1575.0000,803.0000,2023-03-20T11:34:49.467720,823.9000,2,826.40,
88,2023-03-20,341,GBIME,Global IME Bank Limited,189.7000,189.9000,188.0000,,5855,1108397.0000,187.0000,326.0000,183.8000,2023-03-20T11:33:22.843564,188.5000,49,189.30,
89,2023-03-20,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,300.0000,303.5000,299.0000,,8344,2503093.0000,299.0000,525.0000,250.0000,2023-03-20T11:32:50.864035,299.0000,20,299.98,
90,2023-03-20,417,GBBL,Garima Bikas Bank Limited,355.0000,360.0000,355.0000,,211,75424.2000,355.0000,490.0000,318.0000,2023-03-20T11:31:46.084844,355.2000,5,357.46,
91,2023-03-20,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,681.2000,681.2000,681.2000,,100,68120.0000,680.1000,1373.4000,666.0000,2023-03-20T11:33:35.936524,681.2000,3,681.20,
92,2023-03-20,2746,NMFBS,National Microfinance Laghubitta Bittiya Sanstha Limited,1700.0000,1700.0000,1700.0000,,44,74800.0000,1700.0000,2580.0000,1700.0000,2023-03-20T11:17:01.301948,1700.0000,2,1700.00,
93,2023-03-20,2769,NHDL,Nepal Hydro Developers Ltd.,402.0000,408.6000,392.1000,,290,115555.0000,408.0000,533.0000,294.0000,2023-03-20T11:11:22.716981,408.0000,7,398.46,
94,2023-03-20,2780,CMF1,Citizens Mutual Fund -1,7.2400,7.2400,7.2400,,100,724.0000,7.3800,10.0000,6.7500,2023-03-20T10:46:00.042692,7.2400,1,7.24,
95,2023-03-20,2789,JOSHI,Joshi Hydropower Development Company Ltd,273.4000,279.0000,273.4000,,610,169834.0000,278.9000,318.0000,164.8000,2023-03-20T11:34:11.020077,276.2000,12,278.41,
